latitude,longitude,room_type,property_type,accommodates,bedrooms,bathrooms,beds,number_of_reviews,reviews_per_month,review_scores_rating,minimum_nights,maximum_nights,availability_365,instant_bookable,host_is_superhost,price
43.76952,11.24054,Entire home/apt,Entire rental unit,2,2.0,1.0,1.0,136.0,1.5,4.91,14,210,218,0.0,1.0,79.0
43.76709,11.24973,Entire home/apt,Entire loft,4,2.0,2.0,2.0,76.0,0.84,4.82,3,30,64,1.0,0.0,251.0
43.77795,11.25866,Entire home/apt,Entire rental unit,6,3.0,2.5,3.0,108.0,1.17,4.48,3,1125,31,0.0,0.0,328.0
43.77572,11.25519,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,189.0,2.02,4.47,3,1125,149,1.0,0.0,72.0
43.7732,11.25848,Entire home/apt,Entire vacation home,2,1.0,1.0,1.0,249.0,2.71,4.91,1,100,96,1.0,1.0,199.0
43.76733637456392,11.260732561255882,Private room,Private room in bed and breakfast,4,1.0,1.0,4.0,6.0,0.22,4.83,1,365,196,1.0,0.0,196.0
43.76013,11.2678,Entire home/apt,Entire rental unit,5,2.0,1.0,3.0,269.0,3.01,5.0,3,30,178,1.0,1.0,170.0
43.77027,11.25566,Private room,Private room in rental unit,2,1.0,1.0,2.0,15.0,0.18,4.33,31,60,3,0.0,1.0,45.0
43.75662,11.23978,Private room,Private room in condo,2,1.0,2.0,3.0,17.0,0.18,5.0,2,30,67,0.0,0.0,45.0
43.76951,11.20546,Private room,Private room in townhouse,2,1.0,1.0,1.0,130.0,1.38,4.68,2,1125,208,0.0,0.0,65.0
43.77841,11.2738,Entire home/apt,Entire rental unit,2,1.0,1.0,1.0,208.0,2.29,4.95,3,1125,322,1.0,1.0,128.0
